LOGIN 1
Performance

Total Time Taken:1740
Class Name,API,Time Taken(ms),Api Category,Caller Stack
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchInternal->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetch
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.persist->com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.update->com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor

Invocation Frequency
Method Name,Call Frequency
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection,11
com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish,7
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetch,5
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.fetch,3
com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation.transactionalOperation,3
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.persist,2
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.validateDOSPolicy,2
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.persist,2
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.update,2
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchUserForAuthorization,1
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.fetchCacheEntity,1
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.isValidTGT,1
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.update,1
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.checkCustomAuthentication,1
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.createTicketGrantingTicket,1
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.authenticate,1
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl.getServiceTicket,1
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchUserForAuthentication,1

